,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Date Of Registration
3352,20_06_3352,Motorcycle,HONDA,ADV150A,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3353,20_06_3353,Motorcycle,SYM,DRG 160 I (ABS),Petrol,158,SOLO,A,-,1,"<= 150,000",2020,2020-06
3354,20_06_3354,Motorcycle,KAWASAKI,Z900 ABS,Petrol,948,SOLO,A,-,1,"<= 150,000",2020,2020-06
3355,20_06_3355,Motorcycle,PIAGGIO,VESPA SPRINT S 150,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3356,20_06_3356,Motorcycle,YAMAHA,TMAX560 DX ABS,Petrol,562,SOLO,C2,-,1,"<= 150,000",2020,2020-06
3357,20_06_3357,Motorcycle,KYMCO,NEW DOWNTOWN 350I,Petrol,321,SOLO,A,-,1,"<= 150,000",2020,2020-06
3358,20_06_3358,Motorcycle,KYMCO,NEW DOWNTOWN 350I,Petrol,321,SOLO,A,-,1,"<= 150,000",2020,2020-06
3359,20_06_3359,Motorcycle,YAMAHA,TMAX560 DX ABS,Petrol,562,SOLO,C2,-,1,"<= 150,000",2020,2020-06
3360,20_06_3360,Motorcycle,SYM,JOYMAX Z 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3361,20_06_3361,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3362,20_06_3362,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3363,20_06_3363,Motorcycle,SYM,CRUISYM 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3364,20_06_3364,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3365,20_06_3365,Motorcycle,YAMAHA,TRICKER,Petrol,249,SOLO,C2,-,1,"<= 150,000",2016,2020-06
3366,20_06_3366,Motorcycle,KYMCO,NEW DOWNTOWN 350I,Petrol,321,SOLO,A,-,1,"<= 150,000",2020,2020-06
3367,20_06_3367,Motorcycle,KYMCO,G-DINK 300I MMC ABS E4,Petrol,271,SOLO,A,-,1,"<= 150,000",2020,2020-06
3368,20_06_3368,Motorcycle,YAMAHA,AEROX 155,Petrol,155,SOLO,B,-,1,"<= 150,000",2020,2020-06
3369,20_06_3369,Motorcycle,HONDA,MSX125SF,Petrol,125,SOLO,C2,-,1,"<= 150,000",2017,2020-06
3370,20_06_3370,Motorcycle,HONDA,PCX150,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3371,20_06_3371,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3372,20_06_3372,Motorcycle,HAOJUE,VR150E,Petrol,150,SOLO,A,-,1,"<= 150,000",2020,2020-06
3373,20_06_3373,Motorcycle,HARTFORD,HD-223H,Petrol,223,SOLO,A,-,1,"<= 150,000",2020,2020-06
3374,20_06_3374,Motorcycle,MV AGUSTA,BRUTALE 1000 RR,Petrol,998,SOLO,B,-,1,"> 150,000 and <= 300,000",2020,2020-06
3375,20_06_3375,Motorcycle,SYM,JET 180 I (ABS),Petrol,169,SOLO,A,-,1,"<= 150,000",2020,2020-06
3376,20_06_3376,Motorcycle,SYM,JET 180 I (ABS),Petrol,169,SOLO,A,-,1,"<= 150,000",2020,2020-06
3377,20_06_3377,Motorcycle,YAMAHA,MT-09 SP,Petrol,847,SOLO,A,-,1,"<= 150,000",2020,2020-06
3378,20_06_3378,Motorcycle,YAMAHA,TRICKER,Petrol,249,SOLO,C2,-,1,"<= 150,000",2016,2020-06
3379,20_06_3379,Motorcycle,HONDA,FTR223,Petrol,223,SOLO,C2,-,1,"<= 150,000",2010,2020-06
3380,20_06_3380,Motorcycle,HONDA,ADV 150 ABS,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3381,20_06_3381,Motorcycle,HONDA,EZ-9,Petrol,90,SOLO,C2,-,-,"<= 150,000",1991,2020-06
3382,20_06_3382,Motorcycle,HONDA,CBF300NA,Petrol,286,SOLO,A,-,1,"<= 150,000",2020,2020-06
3383,20_06_3383,Motorcycle,KAWASAKI,NINJA ZX-6R ABS,Petrol,636,SOLO,A,-,1,"<= 150,000",2020,2020-06
3384,20_06_3384,Motorcycle,PIAGGIO,VESPA PRIMAVERA 150,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3385,20_06_3385,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3386,20_06_3386,Motorcycle,YAMAHA,TMAX TECH MAX,Petrol,562,SOLO,A,-,1,"<= 150,000",2020,2020-06
3387,20_06_3387,Motorcycle,YAMAHA,XMAX300,Petrol,292,SOLO,A,-,1,"<= 150,000",2020,2020-06
3388,20_06_3388,Motorcycle,HONDA,ADV150A,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3389,20_06_3389,Motorcycle,KTM,350 EXC-F SIX DAYS,Petrol,350,SOLO,A,-,-,"<= 150,000",2017,2020-06
3390,20_06_3390,Motorcycle,YAMAHA,XMAX300,Petrol,292,SOLO,A,-,1,"<= 150,000",2020,2020-06
3391,20_06_3391,Motorcycle,HONDA,ADV 150 ABS,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3392,20_06_3392,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3393,20_06_3393,Motorcycle,HONDA,ADV750,Petrol,745,SOLO,A,-,1,"<= 150,000",2020,2020-06
3394,20_06_3394,Motorcycle,HONDA,CRF250LA,Petrol,250,SOLO,A,-,1,"<= 150,000",2020,2020-06
3395,20_06_3395,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3396,20_06_3396,Motorcycle,SYM,CRUISYM 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3397,20_06_3397,Motorcycle,SYM,CRUISYM 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3398,20_06_3398,Motorcycle,SUZUKI,GSXS1000,Petrol,999,SOLO,A,-,1,"<= 150,000",2020,2020-06
3399,20_06_3399,Motorcycle,HONDA,PCX150,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3400,20_06_3400,Motorcycle,PIAGGIO,VESPA PRIMAVERA 150,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3401,20_06_3401,Motorcycle,YAMAHA,TMAX TECH MAX,Petrol,562,SOLO,A,-,1,"<= 150,000",2020,2020-06
3402,20_06_3402,Motorcycle,YAMAHA,YZF R3 ABS,Petrol,321,SOLO,B,-,1,"<= 150,000",2020,2020-06
3403,20_06_3403,Motorcycle,SUZUKI,AN400,Petrol,400,SOLO,A,-,1,"<= 150,000",2019,2020-06
3404,20_06_3404,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3405,20_06_3405,Motorcycle,DUCATI,SCRAMBLER CR,Petrol,803,SOLO,A,-,1,"<= 150,000",2020,2020-06
3406,20_06_3406,Motorcycle,YAMAHA,XSR 900,Petrol,847,SOLO,A,-,1,"<= 150,000",2020,2020-06
3407,20_06_3407,Motorcycle,SYM,JOYMAX Z 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3408,20_06_3408,Motorcycle,HONDA,CBF300NA,Petrol,286,SOLO,A,-,1,"<= 150,000",2020,2020-06
3409,20_06_3409,Motorcycle,SYM,DRG 160 I (ABS),Petrol,158,SOLO,A,-,1,"<= 150,000",2020,2020-06
3410,20_06_3410,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3411,20_06_3411,Motorcycle,YAMAHA,MT-09,Petrol,847,SOLO,A,-,1,"<= 150,000",2020,2020-06
3412,20_06_3412,Motorcycle,YAMAHA,MT-09,Petrol,847,SOLO,A,-,1,"<= 150,000",2020,2020-06
3413,20_06_3413,Motorcycle,HONDA,NC750SD,Petrol,745,SOLO,A,-,1,"<= 150,000",2020,2020-06
3414,20_06_3414,Motorcycle,YAMAHA,TMAX TECH MAX,Petrol,562,SOLO,A,-,1,"<= 150,000",2020,2020-06
3415,20_06_3415,Motorcycle,P.G.O.,J BUBU 125,Petrol,125,SOLO,A,-,1,"<= 150,000",2020,2020-06
3416,20_06_3416,Motorcycle,YAMAHA,XMAX300,Petrol,292,SOLO,A,-,1,"<= 150,000",2020,2020-06
3417,20_06_3417,Motorcycle,ADIVA,AD1 200LT ABS,Petrol,189,SALOON,A,-,1,"<= 150,000",2020,2020-06
3418,20_06_3418,Motorcycle,KAWASAKI,Z125,Petrol,125,SOLO,A,-,1,"<= 150,000",2017,2020-06
3419,20_06_3419,Motorcycle,KAWASAKI,Z400 ABS,Petrol,399,SOLO,A,-,1,"<= 150,000",2020,2020-06
3420,20_06_3420,Motorcycle,KAWASAKI,Z900 ABS,Petrol,948,SOLO,A,-,1,"<= 150,000",2020,2020-06
3421,20_06_3421,Motorcycle,YAMAHA,TMAX TECH MAX,Petrol,562,SOLO,A,-,1,"<= 150,000",2020,2020-06
3422,20_06_3422,Motorcycle,SYM,CRUISYM 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3423,20_06_3423,Motorcycle,TRIUMPH,SPEED TWIN,Petrol,1200,SOLO,A,-,1,"<= 150,000",2020,2020-06
3424,20_06_3424,Motorcycle,KYMCO,NEW DOWNTOWN 350I,Petrol,321,SOLO,A,-,1,"<= 150,000",2020,2020-06
3425,20_06_3425,Motorcycle,HONDA,ADV 150 ABS,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3426,20_06_3426,Motorcycle,HONDA,PCX150A,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3427,20_06_3427,Motorcycle,HONDA,CBF300NA,Petrol,286,SOLO,A,-,1,"<= 150,000",2020,2020-06
3428,20_06_3428,Motorcycle,SYM,JET 180 I (ABS),Petrol,169,SOLO,A,-,1,"<= 150,000",2020,2020-06
3429,20_06_3429,Motorcycle,YAMAHA,XSR155,Petrol,155,SOLO,B,-,1,"<= 150,000",2020,2020-06
3430,20_06_3430,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3431,20_06_3431,Motorcycle,SYM,CRUISYM 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3432,20_06_3432,Motorcycle,YAMAHA,XSR155,Petrol,155,SOLO,B,-,1,"<= 150,000",2020,2020-06
3433,20_06_3433,Motorcycle,HONDA,ADV750,Petrol,745,SOLO,A,-,1,"<= 150,000",2020,2020-06
3434,20_06_3434,Motorcycle,PIAGGIO,VESPA PRIMAVERA 150,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3435,20_06_3435,Motorcycle,VESPA,GS150,Petrol,150,SOLO,C2,-,1,"<= 150,000",1960,2020-06
3436,20_06_3436,Motorcycle,YAMAHA,XMAX300,Petrol,292,SOLO,A,-,1,"<= 150,000",2020,2020-06
3437,20_06_3437,Motorcycle,YAMAHA,YZF-R6,Petrol,599,SOLO,A,-,1,"<= 150,000",2020,2020-06
3438,20_06_3438,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3439,20_06_3439,Motorcycle,HONDA,NSS300A,Petrol,279,SOLO,A,-,1,"<= 150,000",2020,2020-06
3440,20_06_3440,Motorcycle,HONDA,NSS300A,Petrol,279,SOLO,A,-,1,"<= 150,000",2020,2020-06
3441,20_06_3441,Motorcycle,KYMCO,NEW DOWNTOWN 350I,Petrol,321,SOLO,A,-,1,"<= 150,000",2020,2020-06
3442,20_06_3442,Motorcycle,PIAGGIO,VESPA PRIMAVERA 150,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3443,20_06_3443,Motorcycle,YAMAHA,CYGNUS-X ABS,Petrol,125,SOLO,A,-,1,"<= 150,000",2019,2020-06
3444,20_06_3444,Motorcycle,MV AGUSTA,BRUTALE 800 DRAGSTER RR SCS,Petrol,798,SOLO,B,-,1,"> 150,000 and <= 300,000",2020,2020-06
3445,20_06_3445,Motorcycle,KYMCO,NEW DOWNTOWN 350I ABS,Petrol,321,SOLO,A,-,1,"<= 150,000",2020,2020-06
3446,20_06_3446,Motorcycle,HONDA,PCX150A,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3447,20_06_3447,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3448,20_06_3448,Motorcycle,HONDA,ADV 150 ABS,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3449,20_06_3449,Motorcycle,SYM,CRUISYM 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3450,20_06_3450,Motorcycle,YAMAHA,TMAX TECH MAX,Petrol,562,SOLO,A,-,1,"<= 150,000",2020,2020-06
3451,20_06_3451,Motorcycle,HONDA,ADV 150 ABS,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3452,20_06_3452,Motorcycle,HONDA,NC750XD,Petrol,745,SOLO,A,-,1,"<= 150,000",2020,2020-06
3453,20_06_3453,Motorcycle,KAWASAKI,Z900 ABS,Petrol,948,SOLO,A,-,1,"<= 150,000",2020,2020-06
3454,20_06_3454,Motorcycle,HONDA,PCX150,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3455,20_06_3455,Motorcycle,HONDA,PCX150,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3456,20_06_3456,Motorcycle,HONDA,GYRO X,Petrol,55,OTHERS,C2,-,-,"<= 150,000",1999,2020-06
3457,20_06_3457,Motorcycle,SYM,JOYMAX Z 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3458,20_06_3458,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3459,20_06_3459,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3460,20_06_3460,Motorcycle,SUZUKI,BURGMAN400,Petrol,399,SOLO,C2,-,1,"<= 150,000",2018,2020-06
3461,20_06_3461,Motorcycle,HONDA,PCX150A,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3462,20_06_3462,Motorcycle,HONDA,ADV150A,Petrol,149,SOLO,B,-,1,"<= 150,000",2020,2020-06
3463,20_06_3463,Motorcycle,HONDA,PCX150A,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3464,20_06_3464,Motorcycle,YAMAHA,SMAX ABS,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3465,20_06_3465,Motorcycle,HONDA,NC750XA,Petrol,745,SOLO,A,-,1,"<= 150,000",2020,2020-06
3466,20_06_3466,Motorcycle,TRIUMPH,SPEED TRIPLE RS,Petrol,1050,SOLO,A,-,1,"<= 150,000",2019,2020-06
3467,20_06_3467,Motorcycle,YAMAHA,XMAX300,Petrol,292,SOLO,A,-,1,"<= 150,000",2020,2020-06
3468,20_06_3468,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3469,20_06_3469,Motorcycle,SYM,DRG 160 I (ABS),Petrol,158,SOLO,A,-,1,"<= 150,000",2020,2020-06
3470,20_06_3470,Motorcycle,SYM,CRUISYM 300 I (ABS),Petrol,278,SOLO,A,-,1,"<= 150,000",2020,2020-06
3471,20_06_3471,Motorcycle,YAMAHA,FORCE,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3472,20_06_3472,Motorcycle,YAMAHA,TMAX TECH MAX,Petrol,562,SOLO,A,-,1,"<= 150,000",2020,2020-06
3473,20_06_3473,Motorcycle,YAMAHA,CYGNUS-X ABS,Petrol,125,SOLO,A,-,1,"<= 150,000",2020,2020-06
3474,20_06_3474,Motorcycle,DACHANGJIANG,NK150,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3475,20_06_3475,Motorcycle,TRIUMPH,BONNEVILLE T100 BUD EKINS,Petrol,900,SOLO,A,-,1,"<= 150,000",2020,2020-06
3476,20_06_3476,Motorcycle,YAMAHA,YZF-R6,Petrol,599,SOLO,A,-,1,"<= 150,000",2020,2020-06
3477,20_06_3477,Motorcycle,PIAGGIO,VESPA SPRINT 150 RACING 60S,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3478,20_06_3478,Motorcycle,HONDA,CBF300NA,Petrol,286,SOLO,A,-,1,"<= 150,000",2020,2020-06
3479,20_06_3479,Motorcycle,HARLEY-DAVIDSON,FAT BOY 114,Petrol,1868,SOLO,A,-,1,"> 150,000 and <= 300,000",2020,2020-06
3480,20_06_3480,Motorcycle,SUZUKI,SV650,Petrol,645,SOLO,A,-,1,"<= 150,000",2020,2020-06
3481,20_06_3481,Motorcycle,KAWASAKI,NINJA 400 ABS,Petrol,399,SOLO,A,-,1,"<= 150,000",2020,2020-06
3482,20_06_3482,Motorcycle,DACHANGJIANG,DM150ES,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3483,20_06_3483,Motorcycle,HARTFORD,HD-223H,Petrol,223,SOLO,A,-,1,"<= 150,000",2020,2020-06
3484,20_06_3484,Motorcycle,HONDA,CB400A,Petrol,399,SOLO,A,-,1,"<= 150,000",2020,2020-06
3485,20_06_3485,Motorcycle,KTM,250 DUKE ABS,Petrol,249,SOLO,A,-,1,"<= 150,000",2018,2020-06
3486,20_06_3486,Motorcycle,HONDA,NSS300A,Petrol,279,SOLO,A,-,1,"<= 150,000",2020,2020-06
3487,20_06_3487,Motorcycle,ADIVA,AD1 200LT ABS,Petrol,189,SALOON,A,-,1,"<= 150,000",2020,2020-06
3488,20_06_3488,Motorcycle,YAMAHA,XMAX300,Petrol,292,SOLO,A,-,1,"<= 150,000",2020,2020-06
3489,20_06_3489,Motorcycle,KAWASAKI,Z400 ABS,Petrol,399,SOLO,A,-,1,"<= 150,000",2020,2020-06
3490,20_06_3490,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3491,20_06_3491,Motorcycle,KAWASAKI,NINJA 400 ABS,Petrol,399,SOLO,A,-,1,"<= 150,000",2020,2020-06
3492,20_06_3492,Motorcycle,KYMCO,MOVIE S 150I,Petrol,149,SOLO,A,-,1,"<= 150,000",2020,2020-06
3493,20_06_3493,Motorcycle,PIAGGIO,VESPA PRIMAVERA 150,Petrol,155,SOLO,A,-,1,"<= 150,000",2020,2020-06
3494,20_06_3494,Motorcycle,SYM,JOYRIDE S 200 I (ABS),Petrol,175,SOLO,A,-,1,"<= 150,000",2020,2020-06
3495,20_06_3495,Motorcycle,KYMCO,NEW GRAND DINK 250I ABS E4,Petrol,249,SOLO,A,-,1,"<= 150,000",2020,2020-06
3496,20_06_3496,Motorcycle,YAMAHA,AEROX 155,Petrol,155,SOLO,B,-,1,"<= 150,000",2020,2020-06
3497,20_06_3497,Motorcycle,HONDA,NSS300A,Petrol,279,SOLO,A,-,1,"<= 150,000",2020,2020-06
3498,20_06_3498,Motorcycle,KYMCO,NEW DOWNTOWN 350I ABS,Petrol,321,SOLO,A,-,1,"<= 150,000",2020,2020-06
3499,20_06_3499,Motorcycle,HONDA,GL1800D,Petrol,1833,SOLO,A,-,1,"> 150,000 and <= 300,000",2020,2020-06
3500,20_06_3500,Motorcycle,SYM,COMBIZ,Petrol,125,SOLO,A,-,1,"<= 150,000",2020,2020-06
3501,20_06_3501,Motorcycle,HONDA,CBF300NA,Petrol,286,SOLO,A,-,1,"<= 150,000",2020,2020-06
3502,20_06_3502,Motorcycle,GPX,LEGEND 250 TWIN,Petrol,234,SOLO,A,-,1,"<= 150,000",2020,2020-06
3503,20_06_3503,Motorcycle,SYM,JET 180 I (ABS),Petrol,169,SOLO,A,-,1,"<= 150,000",2020,2020-06
3504,20_06_3504,Motorcycle,B.M.W.,F800R,Petrol,798,SOLO,D,-,1,"<= 150,000",2013,2020-06
