,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Unnamed: 11,Date Of Registration
0,20_08_0,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,,2020-08
1,20_08_1,Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2020,,2020-08
2,20_08_2,Private Car,TOYOTA,AQUA GS,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2014,,2020-08
3,20_08_3,Private Car,KIA,SOUL EV+ PLATINUM,Electric,-,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,,2020-08
4,20_08_4,Private Car,MERCEDES BENZ,MERCEDES-AMG CLA35 4MATIC COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,,2020-08
5,20_08_5,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,,2020-08
6,20_08_6,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,,2020-08
7,20_08_7,Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2020,,2020-08
8,20_08_8,Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2013,,2020-08
9,20_08_9,Private Car,HONDA,JAZZ,Petrol,1496,STATION WAGGON,A,-,4,"<= 150,000",2020,,2020-08
10,20_08_10,Private Car,HONDA,FIT HYBRID L PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,,2020-08
11,20_08_11,Private Car,B.M.W.,118IA SPORT (F40),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,,2020-08
12,20_08_12,Private Car,TOYOTA,TOYOTA SUPRA,Petrol,2998,SALOON,A,-,1,"> 300,000 and <= 500,000",2019,,2020-08
13,20_08_13,Private Car,HONDA,FIT RS,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2013,,2020-08
14,20_08_14,Private Car,PORSCHE,718 BOXSTER S,Petrol,2497,CONVERTIBLE,A,-,1,"> 500,000",2019,,2020-08
15,20_08_15,Private Car,TOYOTA,COROLLA FIELDER HYBRID WXB,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2015,,2020-08
16,20_08_16,Private Car,HONDA,N-ONE PREMIUM TOURER SS PACKAGE,Petrol,658,SALOON,C2,-,3,"<= 150,000",2015,,2020-08
