,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Date Of Registration
0,20_03_0,Private Car,PORSCHE,CAYENNE S COUPE,Petrol,2894,STATION WAGGON,A,-,4,"> 500,000",2019,2020-03
1,20_03_1,Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020,2020-03
2,20_03_2,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
3,20_03_3,Private Car,PORSCHE,718 BOXSTER SPYDER,Petrol,3995,CONVERTIBLE,A,-,1,"> 500,000",2019,2020-03
4,20_03_4,Private Car,B.M.W.,320IA SALOON M SPORT EDITION (G20),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2019,2020-03
5,20_03_5,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2020-03
6,20_03_6,Private Car,LAMBORGHINI,URUS 4.0 - 5 SEATS,Petrol,3996,STATION WAGGON,A,-,4,"> 500,000",2019,2020-03
7,20_03_7,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
8,20_03_8,Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020,2020-03
9,20_03_9,Private Car,HONDA,JAZZ,Petrol,1496,STATION WAGGON,A,-,4,"<= 150,000",2020,2020-03
10,20_03_10,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
11,20_03_11,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
12,20_03_12,Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
13,20_03_13,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2020-03
14,20_03_14,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
15,20_03_15,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2020-03
16,20_03_16,Private Car,VOLKSWAGEN,T-CROSS,Petrol,999,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019,2020-03
17,20_03_17,Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
18,20_03_18,Private Car,JAGUAR,E-PACE S P250,Petrol,1997,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2018,2020-03
19,20_03_19,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2020-03
20,20_03_20,Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
21,20_03_21,Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2014,2020-03
22,20_03_22,Private Car,PORSCHE,MACAN S,Petrol,2995,STATION WAGGON,A,-,4,"> 500,000",2019,2020-03
23,20_03_23,Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2020-03
24,20_03_24,Private Car,MERCEDES BENZ,MERCEDES-AMG CLS53 4M (C257),Petrol,2999,SALOON,A,-,4,"> 500,000",2019,2020-03
25,20_03_25,Private Car,MERCEDES BENZ,GLA200 FACELIFT (X156),Petrol,1595,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019,2020-03
26,20_03_26,Private Car,HYUNDAI,KONA ELECTRIC,Electric,-,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2020-03
27,20_03_27,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
28,20_03_28,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
29,20_03_29,Private Car,MAZDA,ROADSTER RS,Petrol,1839,CONVERTIBLE,C2,-,1,"<= 150,000",1999,2020-03
30,20_03_30,Private Car,TOYOTA,SIENTA HV,Petrol,1497,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2020-03
31,20_03_31,Private Car,TOYOTA,ALPHARD GS,Petrol,3456,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2013,2020-03
32,20_03_32,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2020-03
33,20_03_33,Private Car,B.M.W.,X3 XDRIVE20IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019,2020-03
34,20_03_34,Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2010,2020-03
35,20_03_35,Private Car,MERCEDES BENZ,B220 (W247),Petrol,1991,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019,2020-03
36,20_03_36,Private Car,HONDA,CR-V,Petrol,1498,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2019,2020-03
37,20_03_37,Private Car,B.M.W.,520IA SALOON M SPORT EDITION (G30),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2019,2020-03
38,20_03_38,Private Car,LEXUS,RX300,Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2020-03
39,20_03_39,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2020-03
40,20_03_40,Private Car,B.M.W.,320IA SALOON M SPORT EDITION (G20),Petrol,1998,SALOON,A,-,4,"> 150,000 and <= 300,000",2019,2020-03
41,20_03_41,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2020-03
42,20_03_42,Private Car,MAZDA,CX-5 IPM2 2.0 CORE,Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019,2020-03
43,20_03_43,Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2012,2020-03
44,20_03_44,Private Car,KIA,MORNING SPORT A/T,Petrol,1248,SALOON,A,-,4,"<= 150,000",2019,2020-03
45,20_03_45,Private Car,MERCEDES BENZ,V260 AVANTGARDE EXTRA LONG,Petrol,1991,STATION WAGGON,A,-,7,"> 300,000 and <= 500,000",2019,2020-03
46,20_03_46,Private Car,B.M.W.,X3 XDRIVE20IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019,2020-03
